wavelength_nm,normalized_absorbance
220.0,0.8645676970481873
221.0,0.9908799529075623
222.0,1.0
223.0,0.9380043148994446
224.0,0.7190577387809753
225.0,0.7624875903129578
226.0,0.741732656955719
227.0,0.7356843948364258
228.0,0.6739652156829834
229.0,0.6077442169189453
230.0,0.5790318846702576
231.0,0.6319312453269958
232.0,0.5569040179252625
233.0,0.42427822947502136
234.0,0.5548986792564392
235.0,0.3967783749103546
236.0,0.34651100635528564
237.0,0.5020290017127991
238.0,0.3661961555480957
239.0,0.31736665964126587
240.0,0.30839598178863525
241.0,0.3976508378982544
242.0,0.44670411944389343
243.0,0.257472425699234
244.0,0.4684138894081116
245.0,0.39547982811927795
246.0,0.37762072682380676
247.0,0.347779780626297
248.0,0.2917446494102478
249.0,0.2635088562965393
250.0,0.3137378692626953
251.0,0.45453187823295593
252.0,0.2481384128332138
253.0,0.21592308580875397
254.0,0.24729734659194946
255.0,0.30826714634895325
256.0,0.2596568763256073
257.0,0.27820536494255066
258.0,0.24139083921909332
259.0,0.2667580842971802
260.0,0.11616984754800797
261.0,0.2036609947681427
262.0,0.31051087379455566
263.0,0.3450811505317688
264.0,0.47524183988571167
265.0,0.26503467559814453
266.0,0.31521716713905334
267.0,0.2094106823205948
268.0,0.22958098351955414
269.0,0.23543570935726166
270.0,0.3320201337337494
271.0,0.18788211047649384
272.0,0.17537616193294525
273.0,0.2690369784832001
274.0,0.26429080963134766
275.0,0.2689741551876068
276.0,0.3569108843803406
277.0,0.31740641593933105
278.0,0.3095187544822693
279.0,0.4064246714115143
280.0,0.3163604438304901
281.0,0.39630526304244995
282.0,0.27411410212516785
283.0,0.23826152086257935
284.0,0.39754852652549744
285.0,0.2222011387348175
286.0,0.38090115785598755
287.0,0.2464214414358139
288.0,0.17356301844120026
289.0,0.1454572230577469
290.0,0.36750009655952454
291.0,0.47269564867019653
292.0,0.2985714375972748
293.0,0.24359136819839478
294.0,0.24234777688980103
295.0,0.3813849687576294
296.0,0.39062222838401794
297.0,0.19182121753692627
298.0,0.27574899792671204
299.0,0.08345374464988708
300.0,0.1368616670370102
301.0,0.07686623185873032
302.0,0.3742556571960449
303.0,0.18503005802631378
304.0,0.2908940315246582
305.0,0.2522846758365631
306.0,0.22038932144641876
307.0,0.2141103893518448
308.0,0.17864321172237396
309.0,0.23921822011470795
310.0,0.27058690786361694
311.0,0.12725543975830078
312.0,0.22699150443077087
313.0,0.23073171079158783
314.0,0.2113984227180481
315.0,0.20657536387443542
316.0,0.22686800360679626
317.0,0.29548078775405884
318.0,0.22754599153995514
319.0,0.2233869880437851
320.0,0.29409024119377136
321.0,0.22308042645454407
322.0,0.19366805255413055
323.0,0.25564226508140564
324.0,0.2771261930465698
325.0,0.21391145884990692
326.0,0.11409427970647812
327.0,0.16976630687713623
328.0,0.1557769775390625
329.0,0.23740796744823456
330.0,0.14366333186626434
331.0,0.24078282713890076
332.0,0.21817338466644287
333.0,0.1626998633146286
334.0,0.22177094221115112
335.0,0.08373706042766571
336.0,0.05672280490398407
337.0,0.021793244406580925
338.0,0.13426662981510162
339.0,0.16710276901721954
340.0,0.1271047741174698
341.0,0.06384386867284775
342.0,0.25436025857925415
343.0,0.0765397772192955
344.0,0.21659031510353088
345.0,0.2725186049938202
346.0,0.24205254018306732
347.0,0.17622345685958862
348.0,0.15112711489200592
349.0,0.042315222322940826
350.0,0.17754246294498444
351.0,0.126532644033432
352.0,0.36408472061157227
353.0,0.08749379217624664
354.0,0.2159590721130371
355.0,0.10699973255395889
356.0,0.22724756598472595
357.0,0.283903032541275
358.0,0.16078397631645203
359.0,0.13483361899852753
360.0,0.23957878351211548
361.0,0.14609716832637787
362.0,0.12709428369998932
363.0,0.08649025857448578
364.0,0.14392264187335968
365.0,0.15799109637737274
366.0,0.17014417052268982
367.0,0.3086629807949066
368.0,0.266348272562027
369.0,0.1531311571598053
370.0,0.2550046145915985
371.0,0.18271808326244354
372.0,0.15041397511959076
373.0,0.08728968352079391
374.0,0.1614670753479004
375.0,0.16554823517799377
376.0,0.07548322528600693
377.0,0.04063195735216141
378.0,0.07391712069511414
379.0,0.19302582740783691
380.0,0.08671966940164566
381.0,0.14432623982429504
382.0,0.11607725918292999
383.0,0.05060749873518944
384.0,0.1614869087934494
385.0,0.18390998244285583
386.0,0.2646121680736542
387.0,0.18027575314044952
388.0,0.05972081050276756
389.0,0.18551599979400635
390.0,0.19238801300525665
391.0,0.22042356431484222
392.0,0.055956702679395676
393.0,0.02209756337106228
394.0,0.2120305448770523
395.0,0.0
396.0,0.2174212485551834
397.0,0.20903712511062622
398.0,0.14684684574604034
399.0,0.22549673914909363
400.0,0.10379564017057419
