epoch,training_loss,validation_loss,training_mse,training_rmse,training_mae,validation_mse,validation_rmse,validation_mae,learning_rate,epoch_seconds
18,0.6046841480793097,0.46600606441497805,0.07612833380699158,0.27591363468845026,0.17213648557662964,0.054741568863391876,0.23396916220603065,0.13984154164791107,0.00025,0.10117602348327637
19,0.604615432329667,0.4667407512664795,0.07575159519910812,0.27523007684318973,0.17221994698047638,0.054501019418239594,0.23345453394234947,0.1400308459997177,0.00025,0.10833621025085449
20,0.6051865884890923,0.466921865940094,0.07621227949857712,0.2760657159057914,0.17209908366203308,0.05501740425825119,0.234557891059438,0.1396595984697342,0.00025,0.10310482978820801
21,0.6048262577790481,0.46563656330108644,0.07638546079397202,0.27637919746965767,0.17194406688213348,0.05479968711733818,0.23409332992919338,0.1396266520023346,0.00025,0.10108804702758789
22,0.60422977575889,0.46617128849029543,0.07614616304636002,0.2759459422538408,0.17201106250286102,0.054648756980895996,0.23377073593779013,0.13997648656368256,0.00025,0.18960356712341309
23,0.6051795390936044,0.46680593490600586,0.07553038746118546,0.27482792336512213,0.1724635511636734,0.05435722693800926,0.23314636376750392,0.14006079733371735,0.00025,0.10587716102600098
24,0.6046704351902008,0.46674885749816897,0.07595955580472946,0.275607612022472,0.17196223139762878,0.054894134402275085,0.2342949730623239,0.13966518640518188,0.000125,0.09664726257324219
25,0.6045097953233963,0.4661194562911987,0.07619217038154602,0.2760292926150158,0.17187583446502686,0.05476301908493042,0.23401499756411,0.13967308402061462,0.000125,0.1022484302520752
26,0.6042339037626218,0.46612735986709597,0.0760602355003357,0.27579020196579807,0.17194092273712158,0.054726965725421906,0.2339379527255505,0.13977542519569397,0.000125,0.10457801818847656
27,0.6044916579356561,0.465910816192627,0.07614611834287643,0.2759458612533923,0.17203466594219208,0.0547131709754467,0.23390846708797589,0.13977943360805511,0.000125,0.10628151893615723
28,0.6041572254437667,0.46585750579833984,0.07607551664113998,0.2758179048596011,0.17197661101818085,0.054846081882715225,0.23419240355467388,0.13963797688484192,0.000125,0.10038113594055176
29,0.6043084217951848,0.4661214351654053,0.07612738013267517,0.2759119064713866,0.171925351023674,0.05472157523036003,0.233926431235036,0.13969539105892181,0.000125,0.09958887100219727
30,0.6051673377171541,0.4659328818321228,0.07653255015611649,0.2766451701297467,0.17198187112808228,0.054996129125356674,0.23451253511349168,0.13954338431358337,0.000125,0.10167646408081055
31,0.6048998251939431,0.4657140731811523,0.07603626698255539,0.27574674428278456,0.1722864955663681,0.054602380841970444,0.233671523386934,0.13985589146614075,0.000125,0.09642219543457031
32,0.604366462964278,0.46650604009628294,0.0759129524230957,0.27552305243499264,0.17209231853485107,0.05476931482553482,0.23402844875257114,0.13970859348773956,0.000125,0.09964680671691895
33,0.6045729594352918,0.4660190582275391,0.07636197656393051,0.27633670867970206,0.1718655526638031,0.054988227784633636,0.23449568820051603,0.13958711922168732,6.25e-05,0.10465788841247559
34,0.604300781702384,0.4657028079032898,0.07626646012067795,0.27616382840748344,0.17194199562072754,0.054845985025167465,0.23419219676404135,0.13962750136852264,6.25e-05,0.10217142105102539
35,0.6042983035246531,0.46593579053878786,0.07607457786798477,0.27581620305555793,0.1720142662525177,0.05473029986023903,0.2339450787262665,0.13974782824516296,6.25e-05,0.10453486442565918
36,0.6041556153541956,0.4656376838684082,0.07604698836803436,0.2757661842359109,0.17199166119098663,0.054810140281915665,0.23411565578131605,0.13964641094207764,6.25e-05,0.09734630584716797
