Wavelength (nm),Absorbance
220.0,0.9679425358772278
221.0,1.0
222.0,0.9487418532371521
223.0,0.8743727803230286
224.0,0.8338929414749146
225.0,0.7872673273086548
226.0,0.7218716740608215
227.0,0.7051997780799866
228.0,0.6916089057922363
229.0,0.6808596849441528
230.0,0.6612280607223511
231.0,0.6369345188140869
232.0,0.6063728928565979
233.0,0.5471965670585632
234.0,0.560014545917511
235.0,0.5350051522254944
236.0,0.5265213847160339
237.0,0.5308617353439331
238.0,0.5258751511573792
239.0,0.5151468515396118
240.0,0.4864594042301178
241.0,0.47694429755210876
242.0,0.4704488217830658
243.0,0.46276551485061646
244.0,0.4741024374961853
245.0,0.4356652498245239
246.0,0.43425366282463074
247.0,0.46736449003219604
248.0,0.4596053659915924
249.0,0.4223446249961853
250.0,0.403537780046463
251.0,0.3976420760154724
252.0,0.43369752168655396
253.0,0.3962114453315735
254.0,0.4030677080154419
255.0,0.38084957003593445
256.0,0.3994466960430145
257.0,0.3877502977848053
258.0,0.404415100812912
259.0,0.3905937075614929
260.0,0.4013001322746277
261.0,0.40266153216362
262.0,0.3967464864253998
263.0,0.38889458775520325
264.0,0.36186835169792175
265.0,0.3761414587497711
266.0,0.3604908585548401
267.0,0.3366900086402893
268.0,0.3487875163555145
269.0,0.3460223078727722
270.0,0.385308176279068
271.0,0.34107184410095215
272.0,0.3525969088077545
273.0,0.3303438425064087
274.0,0.35393255949020386
275.0,0.35646212100982666
276.0,0.36210396885871887
277.0,0.3435353934764862
278.0,0.3476845920085907
279.0,0.32995060086250305
280.0,0.3381682336330414
281.0,0.3322720527648926
282.0,0.32845786213874817
283.0,0.2997393012046814
284.0,0.2874978184700012
285.0,0.29322466254234314
286.0,0.28974542021751404
287.0,0.2865186631679535
288.0,0.26220738887786865
289.0,0.25537675619125366
290.0,0.22521436214447021
291.0,0.22437593340873718
292.0,0.21802319586277008
293.0,0.19486603140830994
294.0,0.19822271168231964
295.0,0.1847894936800003
296.0,0.19370736181735992
297.0,0.17572325468063354
298.0,0.16380363702774048
299.0,0.1661309450864792
300.0,0.15528592467308044
301.0,0.1385296881198883
302.0,0.14241144061088562
303.0,0.137614443898201
304.0,0.12549364566802979
305.0,0.11410504579544067
306.0,0.11744821071624756
307.0,0.10017476975917816
308.0,0.11627762764692307
309.0,0.09829606115818024
310.0,0.07716849446296692
311.0,0.09015728533267975
312.0,0.07933284342288971
313.0,0.09618888795375824
314.0,0.0792805477976799
315.0,0.06397503614425659
316.0,0.06382246315479279
317.0,0.057021621614694595
318.0,0.05741504952311516
319.0,0.059135597199201584
320.0,0.05891991779208183
321.0,0.046237897127866745
322.0,0.04246591031551361
323.0,0.05015016719698906
324.0,0.04312215372920036
325.0,0.042904991656541824
326.0,0.0448407381772995
327.0,0.03900907188653946
328.0,0.04057387262582779
329.0,0.03369688242673874
330.0,0.03374315798282623
331.0,0.036893945187330246
332.0,0.03158639371395111
333.0,0.03133070096373558
334.0,0.02519124560058117
335.0,0.035858940333127975
336.0,0.044731710106134415
337.0,0.030099134892225266
338.0,0.03646653890609741
339.0,0.03025481477379799
340.0,0.02776016667485237
341.0,0.03606802597641945
342.0,0.03242000192403793
343.0,0.024815542623400688
344.0,0.03654267266392708
345.0,0.02390541508793831
346.0,0.022369496524333954
347.0,0.03178735449910164
348.0,0.037800852209329605
349.0,0.033387940376996994
350.0,0.025474224239587784
351.0,0.024719273671507835
352.0,0.028756380081176758
353.0,0.02446119673550129
354.0,0.029853297397494316
355.0,0.02529364638030529
356.0,0.007814527489244938
357.0,0.020771151408553123
358.0,0.024976223707199097
359.0,0.028602033853530884
360.0,0.01638009212911129
361.0,0.030364368110895157
362.0,0.02475629188120365
363.0,0.021402262151241302
364.0,0.025465775281190872
365.0,0.010822492651641369
366.0,0.02894839271903038
367.0,0.02340543642640114
368.0,0.02591116353869438
369.0,0.034916676580905914
370.0,0.023107217624783516
371.0,0.017359424382448196
372.0,0.012499483302235603
373.0,0.01800386980175972
374.0,0.024214357137680054
375.0,0.01522778533399105
376.0,0.024283241480588913
377.0,0.012952132150530815
378.0,0.01981019414961338
379.0,0.020725606009364128
380.0,0.009063640609383583
381.0,0.015879729762673378
382.0,0.016173020005226135
383.0,0.02135874330997467
384.0,0.024205924943089485
385.0,0.01742646098136902
386.0,0.012892243452370167
387.0,0.009836837649345398
388.0,0.027716604992747307
389.0,0.0038061966188251972
390.0,0.015754103660583496
391.0,0.011958989314734936
392.0,0.02190610021352768
393.0,0.01230285782366991
394.0,0.007293550297617912
395.0,0.015528073534369469
396.0,0.0158804003149271
397.0,0.011036088690161705
398.0,0.01047444250434637
399.0,0.013273445889353752
400.0,0.010596781969070435
