epoch,training_loss,validation_loss,validation_mse,validation_rmse,validation_mae,learning_rate,epoch_seconds
1,1.0023173654780668,1.2037876844406128,0.06769587099552155,0.2601843019775051,0.19279292225837708,0.001,0.20008254051208496
2,1.0027363160077263,1.2036093473434448,0.06769101321697235,0.260174966545539,0.19284160435199738,0.001,0.05077219009399414
3,1.0023876603911905,1.2036588191986084,0.0676938071846962,0.2601803358916584,0.1927637755870819,0.001,0.04294538497924805
4,1.0031808123869055,1.2035894393920898,0.06768564134836197,0.26016464277138424,0.19266849756240845,0.001,0.037796974182128906
5,1.0002849733128267,1.2034173011779785,0.06766805052757263,0.26013083348110166,0.19259965419769287,0.001,0.04118084907531738
6,1.003253814052133,1.2032030820846558,0.06764867901802063,0.26009359664939974,0.19249476492404938,0.001,0.04569578170776367
7,1.0038664376034456,1.2032122611999512,0.06764864921569824,0.26009353935785917,0.19243022799491882,0.001,0.04718518257141113
8,1.0031733372632194,1.2035369873046875,0.06767062097787857,0.2601357741216663,0.1923885941505432,0.001,0.039702415466308594
9,1.004446871140424,1.203920841217041,0.06769784539937973,0.2601880961907745,0.19236096739768982,0.001,0.03784060478210449
10,1.0054834660361796,1.2044193744659424,0.06774043291807175,0.26026992319142783,0.19251908361911774,0.001,0.04031729698181152
11,1.010320361922769,1.2050193548202515,0.06779374927282333,0.2603723281626205,0.1928682178258896,0.001,0.045809268951416016
12,1.00856114135069,1.2055891752243042,0.06784125417470932,0.26046353713084164,0.19322063028812408,0.001,0.04562044143676758
13,1.00585096022662,1.205947756767273,0.06787385046482086,0.26052610323117503,0.19357550144195557,0.001,0.04266524314880371
14,1.0081638308132397,1.2064785957336426,0.06791450828313828,0.26060412176928105,0.19390974938869476,0.001,0.04619097709655762
15,1.0132826005711275,1.20682692527771,0.06794166564941406,0.2606562211983709,0.19430111348628998,0.001,0.04243612289428711
16,1.0078210445011364,1.206982135772705,0.06794682890176773,0.26066612534383465,0.19456271827220917,0.001,0.041312456130981445
17,1.002839495153988,1.2069491147994995,0.06792466342449188,0.2606236048873775,0.1944701075553894,0.0005,0.0438840389251709
18,1.0098564414417042,1.2066060304641724,0.06788560003042221,0.2605486519451256,0.1941908895969391,0.0005,0.05076956748962402
19,1.0101004628574146,1.206343650817871,0.06785325706005096,0.2604865775045827,0.1939493864774704,0.0005,0.04491305351257324
20,0.9977368466994342,1.2059673070907593,0.06780707091093063,0.2603979088067541,0.19373305141925812,0.0005,0.04038643836975098
21,1.0056376036475687,1.2049882411956787,0.06771925836801529,0.2602292419541188,0.19327685236930847,0.0005,0.04515504837036133
22,1.0027719981530134,1.2047580480575562,0.06769319623708725,0.26017916180410616,0.19317056238651276,0.0005,0.04327392578125
23,1.0035944107700796,1.2053942680358887,0.0677177831530571,0.26022640748597575,0.19307103753089905,0.0005,0.04257392883300781
24,1.001227178994347,1.207407832145691,0.06780596822500229,0.26039579148865344,0.19275923073291779,0.0005,0.046262264251708984
25,0.9981940353617949,1.2098370790481567,0.0678938701748848,0.26056452209555464,0.19151519238948822,0.0005,0.04547429084777832
26,1.0047403679174536,1.2184714078903198,0.06829473376274109,0.26133261136479136,0.18905948102474213,0.0005,0.0382990837097168
27,1.005116508287542,1.237229585647583,0.06924552470445633,0.2631454440123491,0.18753547966480255,0.0005,0.09560537338256836
28,0.9955604462062612,1.265782356262207,0.07078368216753006,0.26605202906110315,0.18739287555217743,0.00025,0.0737450122833252
29,1.0167069084504072,1.2797329425811768,0.07160636782646179,0.26759366178305083,0.1881360560655594,0.00025,0.038384199142456055
30,0.9944879658081952,1.2948309183120728,0.07252056896686554,0.2692964332605717,0.18962492048740387,0.00025,0.06358766555786133
31,0.9982688672402326,1.333225965499878,0.07491089403629303,0.27369854591556203,0.19281964004039764,0.00025,0.041144371032714844
32,0.9994088761946734,1.385859489440918,0.07830779999494553,0.2798353086995019,0.20003844797611237,0.00025,0.04264068603515625
33,1.0013098436243393,1.4709793329238892,0.08392859250307083,0.28970431909633454,0.21167495846748352,0.00025,0.0478665828704834
34,1.0076554207240833,1.6210025548934937,0.09328529983758926,0.30542642295254885,0.2277054637670517,0.00025,0.04095196723937988
35,1.0063632235807531,1.7886099815368652,0.1039288192987442,0.32237993004953674,0.24298767745494843,0.00025,0.04148101806640625
36,1.0036654086673962,1.9627169370651245,0.11424826085567474,0.3380063029821704,0.25835269689559937,0.00025,0.0388638973236084
37,0.9997218040858998,2.22101092338562,0.12907792627811432,0.35927416589300476,0.2794734239578247,0.00025,0.04399299621582031
38,1.0072572511785172,2.6055781841278076,0.152226060628891,0.3901615827178414,0.3057178556919098,0.00025,0.038604736328125
39,1.0026602920363932,2.9137492179870605,0.16935832798480988,0.4115316852744268,0.32048091292381287,0.000125,0.04236102104187012
40,1.0167301472495585,2.712334632873535,0.15723146498203278,0.396524230006229,0.3063587546348572,0.000125,0.04388618469238281
41,0.9997861876207239,2.489823579788208,0.14335912466049194,0.37862795018393974,0.2911589741706848,0.000125,0.04334282875061035
